Tap to set name,0
appointment,約定
attendance,出席
cabinet,櫥櫃
calendar,行事曆
clerk,辦事員
directory,人名住址薄
duplicate,複製
filing,歸檔
in-tray,待處理文件盒
monitor,檢測
out-tray,已處理文件盒
partition,分隔
postage,郵費
punctuality,準時
schedule,時間表
shift,換班
staff,全體職員
strike,罷工
task,工作
workforce,工作人員
assignment,分配
bulletin,公告
calculator,計算器
colleague,同事
document,文件
extension,延期
intercom,對講機
memo,備忘錄
operator,接線生
overtime,加班的時間
portfolio,公事包
printedmatter,印刷品
receptionist,接待員
secretary,秘書
shorthand,速記
stapler,釘書機
tardy,遲緩
typist,打字員
xerox,影印
allocate,分配
applicant,申請人
authorize,授權
bonus,紅利
capability,能力
collaboration,合作
consultation,諮詢
curriculumvitae,履歷
eligible,合格
emplyer,雇主
executive,行政人員
income,收入
layoff,解雇
occupation,職業
part-time,兼職的
permanent,永久的
promote,促進
recruit,招募
resume,履歷表
salary,薪水
amateur,業餘
appoint,任命
benefit,效益
candidate,候選人
certificate,證書
competent,有能力的
coordinate,協調
deadline,期限
employee,受雇者
evaluation,評價
expertise,專門知識
interview,面談
novice,初學者
overtime,超時
pension,養老金
personnel,人員
recommendation,推薦
resign,辭職
retire,退休
substitute,代理人
accrue,累積
acquisiton,獲得
amplify,放大
asset,長處
buyout,買斷
corporation,公司
cutback,減少
enterprise,企業
equity,公平
financier,金融家
franchise,經銷權
launch,開始
monopoly,壟斷
phase,階段
profile,輪廓
proposition,提案
prospectus,說明書
rival,競爭者
subsidiary,子公司
trackrecord,過去的記錄
acquire,獲得
affiliate,支部
assess,評估
benchmark,基準
carryout,完成
cutdown,削減
embezzle,盜用
entrepreneur,企業家
expand,擴張
firm,公司
integrate,整合
merger,合併
pending,未決定的
preliminary,初步的
propose,建議
prospect,展望
prosperity,繁榮
scheme,計畫
thrive,興盛
undervalue,低估
account,帳戶
balance,差額
bond,債券
credit,信用
debt,債務
deficit,赤字
depreciation,貶值
endorse,支持
exempt,豁免的
expense,花費
fluctuation,波動
gross,總共的
inflation,通貨膨脹
overdraft,透支
profit,利潤
revenue,收益
withdraw,收回
accountant,會計師
bankrupt,破產的
capital,資本
convert,轉換
currency,貨幣
deduction,扣除
deposit,存款
depression,蕭條
discrepancy,差異
estimate,估計
expenditure,開銷
fiscal,財政的
fund,基金
ledger,總帳
overdue,過期的
remuneration,報酬
shareholder,股東
stockbroker,股票經紀人
yield,產生
bid,出價
commercial,營利的
competitor,競爭者
consolidate,鞏固
contract,契約
corporate,企業
credible,可信的
debit,借方
earnings,薪水
export,輸出
haggle,討價還價
import,輸入
invoice,發票
long-range,長期的
stock,庫存
payment,付款
quote,報價
supply,供應
tariff,關稅
voucher,憑證
billoflading,提貨單
commodity,商品
consignee,收件人
consumer,消費者
contractor,承包商
cost-effective,符合效益的
dealer,業者
due,應有的
forward,前
headquarters,司令部
inventory,存貨
order,訂單
patent,專利
quota,配額
shipment,一批貨
surplus,剩餘的
trademark,商標
warehouse,倉庫
adjourn,延期
agreement,協定
amendment,修正
approval,贊成
attentive,細心
board,木板
brainstorm,腦力激蕩
concede,讓步
conference,會議
convention,慣例
convince,說服
delegate,代表
demand,要求
dispute,爭議
negotiation,談判
persuade,說服
postpone,延遲
reconcile,調和
settlement,移民地
agenda,議程
alternative,選擇性的
announce,宣佈
articulate,明白地說
attorney,律師
breakthrough,突破
compromise,妥協
conclusive,勿庸置疑的
consensus,共識
converse,交談
criterion,標準
decline,下降
demonstration,示範
diplomacy,外交
dissuade,勸阻
petition,請願
premise,前提
seminar,研討會
statement,聲明
advance,前進
capacity,容量
component,組成
device,裝置
engineer,工程師
facilitate,促進
fuel,燃料
generator,發電機
innovative,創新
inventor,發明家
leadingedge,前緣
malfunction,故障
mode,模式
operate,操作
outlet,出口
portable,可攜帶的
rawmaterial,原料
satellite,衛星
specification,說明
automaton,機器人
cellphone,手機
consecutive,連續的
devise,發明
equipment,設備
facility,便利的設施
gadget,小工具
inspect,檢查
laboratory,實驗室
maintenance,維護
manual,使用手冊
network,網路
outage,斷電
petroleum,石油
procedure,手續
reverse,相反的
solar,太陽能
static,靜態的
turndown,駁回
access,存取
automatically,自動的
cable,電纜
compliance,順從
delete,刪除
digital,數位的
download,下載
hacker,駭客
input,輸入
Internet,國際互聯網
laptop,筆記型電腦
multimedia,多媒體
retrieval,恢復
searchiengine,搜尋引擎
shutdown,使關閉
terminology,專業術語
troubleshooting,解決困難的
activate,使活動
browse,瀏覽
command,命令
configuration,構造
database,資料庫
desktop,桌上型的
downgrade,降級
floppy,軟碟
hyperlink,超連結
install,安裝
modern,數據機
omit,忽略
scanner,掃描器
server,伺服器
spreadsheet,試算表
switch,開關
transmission,傳輸
upgrade,升級
virus,電腦病毒
advertisement,廣告
appendix,附錄
attach,貼上
campaign,戰役
cohesive,有粘著力的
confidential,機密的
correspondence,通信
dictate,命令
elaborate,闡述
forward,發送
inquire,查詢
jotdown,記下
leaflet,傳單
notify,通知
publicity,公開
response,回應
revise,修訂
slogan,口號
urgent,緊急的
affirm,斷言
banner,旗幟
circular,循環的
composition,作文
convene,集合
courier,信使
draft,草稿
enclose,附上
inform,通知
issue,發佈
layout,設計
legible,易讀的
postage,郵資
proofread,校正
regarding,關於
restate,再聲明
signature,簽名
stationery,文具
accommodation,住所
brochure,小冊子
checkout,退房
confirmation,確認
customs,海關
departure,離開
enroute,在途中
expedition,遠征隊
flight,飛行
itinerary,行程表
lodge,小屋
luxurious,奢華的
motel,汽車旅館
packing,打包
reservation,預約
sightseeing,觀光
suite,套房
valid,有效的
breathtaking,驚險的
carry-on,進行
concierge,看門人
cruise,巡航
deluxe,豪華的
destination,目的地
exotic,異國風情的
fasten,繫緊
flightattendant,空中服務員
jetlag,時差
luggage,行李
metaldetector,金屬探測器
overseas,在海外的
passenger,乘客
porter,搬運工
round-trip,往返
stopover,中途停留
vacant,空的
voyage,航程
accelerate,加速
aircraft,飛機
arrival,到達
cargo,貨物
convertible,敞篷車
delay,耽擱
forbid,禁止
groundcrew,地勤人員
jaywalk,闖紅燈
launch,發射
navigate,航行
pilot,飛行員
route,路徑
seatbelt,安全帶
subway,地鐵
taxicab,出租車
transit,通過
vehicle,車輛
acrophobia,恐高症
airliner,大型客機
aviation,航空學
cabin,客艙
commuter,通勤者
conference,會議
crossroads,十字路口
ferry,渡輪
freight,貨運
intersection,路口
jeopardy,風險
lifevest,救生衣
pedestrian,行人
restriction,限制
runway,飛機跑道
shortcut,捷徑
takeoff,起飛
timetable,時間表
transport,交通工具
via,借由
affordable,負擔的起的
bazaar,市場
client,客戶
customer,顧客
discount,折扣
distributor,經銷商
expiration,期滿
itemize,逐項列舉
latest,最新的
neonsign,霓虹燈招牌
pickpocket,扒手
pushcart,手推車
receipt,收據
reimburse,償還
request,要求
sample,樣本
solicit,祈求
trendy,時髦的
wholesale,批發地
bargain,便宜貨
cashregister,收銀機
coupon,折價券
defective,有問題的
display,展示品
drugstore,藥房
fleamarket,跳蚤市場
label,標籤
modify,修改
patron,顧客
purchase,購買
quantity,數量
refund,退款
replacement,代替
retailer,零售商
shoppingmall,大型購物中心
thrift,節儉
vender,小販
warranty,保證
workmanship,手藝
alcohol,酒精
appetite,胃口
artificial,人造的
bland,平淡的
chef,主廚
crave,渴望
delicacy,佳餚
digest,消化
fragrant,芳香的
ingredient,成分
liquor,烈酒
munch,用力咀嚼
palatable,美味的
passup,放過
portion,部分
ravenous,饑餓的
refreshment,茶點
silverware,銀器
specialty,專長
starve,餓死
aperitif,飯前酒
appetizer,開胃菜
beverage,飲料
buffet,自助餐
chopsticks,筷子
cuisine,烹調
dessert,餐後甜點
entree,主菜
horsd'oeuvre,開胃小菜
leftovers,剩飯剩菜
menu,菜單
napkin,餐巾
parched,炒過的
pastry,糕點
preservative,防腐劑
recipe,食譜
seasoning,調味料
snack,點心
spice,香料
vegetarian,素食者
acceptance,接受
acquaintance,熟人
anniversary,周年紀念日
associate,合夥人
banquet,正式的宴會
commitment,承諾
courtesy,禮貌
distinguished,卓越的
embrace,擁抱
etiquette,禮節
farewell,珍重再見
get-together,聚會
greetin,問候
hug,擁抱
lavish,闊氣的
nosy,愛打聽的
offensive,冒犯的
protocol,協議
regards,問候
salute,禮炮
acknowledge,承認
aggressive,有侵略性的
apologize,道歉
attractive,有吸引力的
barrier,障礙物
compliment,讚揚
criticize,評論
eloquent,口才好的
encounter,相遇
extend,擴大
favorable,令人滿意的
gossip,流言
hilarious,狂歡的
intrude,闖入
modest,謙遜的
nuisance,滋擾
prompt,準時的
quarrel,爭吵
runinto,偶遇
scandal,醜聞
amuse,使歡樂
audience,觀眾
ballet,芭蕾舞
cableTV,有線電視
celebrity,名人
cinema,電影
composer,作曲家
conductor,指揮家
cue,暗示
drama,戲劇
fare,票價
headline,標題
newscast,新聞廣播
periodical,雜誌
premiere,首映
rate,分級
scenario,戲劇的情節
scripwriter,編劇
symphony,交響曲
ticketoffice,售票處
applaud,鼓掌
audition,面試
broadcast,廣播
carnival,嘉年華會
choreography,編舞
circus,馬戲團
concert,音樂會
critic,評論家
curtaincall,謝幕
editorial,社論
finale,結局
media,媒體
performance,演出
playwright,劇作家
preview,預告片
rehearsal,排練
screen,螢幕
stunt,特技
teater,戲院
violin,小提琴
aerobics,有氧運動
coach,教練
compete,比賽
defeat,擊敗
fitness,身體素質
gym,體育館
league,聯盟
marathon,馬拉松
mountaineering,登山運動
participate,參與
recreation,娛樂
relaxation,休息
rigor,嚴格
soccer,足球
stadium,體育場
stroll,散步
surrender,投降
time-out,暫停
trophy,錦標
usher,招待員
billiards,撞球
combative,好戰的
default,默認
defense,防衛
forfeit,喪失
intensity,強度
leisure,閒暇時間
massage,按摩
muscle,肌肉
pastime,消遣
referee,裁判
replacement,替代
runner-up,亞軍
spectator,觀眾
stretch,伸張
surfing,衝浪
tactic,戰略
tournament,比賽
umpire,裁判
volleyball,排球
alleviate,緩和
bacteria,細菌
collision,碰撞
compensation,賠償
contagious,傳染性的
crash,碰撞
emergency room,急診室
expiration date,有效期限
general hospital,綜合醫院
immune,免疫的
infection,感染
investigator,調查員
mandatory,強制的
option,選項
outpatient,門診病人
premium,額外費用
severe,嚴苛的
stroke,中風
terms,條款
vital,非常必要的
antibiotic,抗生素
claim,要求
commission,傭金
comprehensive,全面的
coverage,覆蓋
diagnose,診斷
excruciating,極痛苦的
fraud,舞弊
handicap,障礙
indemnity,損害賠償
intensive care unit,加護病房
liable,容易
nutrition,營養
organdonor,器官捐贈者
pharmaceutical,製藥的
purification,洗淨
surgery,手術
trauma,外傷
waive,放棄
appliance,器具
burglar,竊賊
community,社區
electronics,電子學
fire extinguisher,滅火器
furniture,傢俱
garbage disposal,垃圾處理機
landlord,房東
laundry,洗衣店
lease,租
mattress,床墊
mortgage,抵押
ornament,裝飾品
plumbing,水管設施
possession,所有權
realestate,不動產
renovate,修復
rural,鄉下
suburb,近郊
urban,都市的
balcony,陽臺
chore,苦差事
downpayment,頭期款
furnishings,傢俱
garage,車庫
kitchenware,廚房用具
laundromat,自助洗衣店
lawn,草坪
loanshark,放高利貸者
messy,雜亂的
neighborhood,街坊
playground,運動場
porch,門廊
property,財產
relocate,遷徙
residence,住宅
storage,儲藏室
tenant,承租人
utility,公益事業
affection,感情
anticipate,預料
brag,吹噓
delighted,欣喜的
detest,憎惡
disgust,厭惡
distress,苦難
enthusiastic,熱情
esteem,尊重
fascination,魅力
gloomy,陰沉
impartial,公正的
impulsive,衝動的
irritated,惱怒的
mad,瘋狂的
objective,目的
panic,恐慌
prejudice,偏見
repulsive,醜惡的
tranquility,安寧
ambition,野心
attraction,吸引力
contentment,滿意
despair,絕望
devoted,忠誠
disposition,性格
elegant,優雅
entice,誘惑
fancy,幻想
fondness,癖好
hideous,猙獰
impression,印象
instinct,直覺
jealous,嫉妒的
nasty,骯髒的
optimistic,樂觀的
perceive,感知
provoke,激怒
startle,驚嚇
upset,使心煩意亂
aspect,方面
assumption,假定
attempt,企圖
callwaiting,電話插播
declaration,宣言
endeavor,努力
exceed,超過
identity,身份
implication,含義
inspire,鼓舞
intention,意圖
interrupt,打斷
manipulate,操縱
obstacle,障礙物
priority,優先權
prohibit,禁止
ressure,使安心
remind,提醒
sustain,維持
undertake,承擔
alter,改變
assurance,保證
clarify,澄清
discard,拋棄
entitle,有權
exhibition,展覽會
impact,碰撞力
incentive,鼓勵
instruct,指導
interfere,干擾
involve,涉及
merit,值得
permit,許可證
proceed,繼續進行
protest,反對
register,登記簿
risk,風險
submit,認輸
speculate,沉思
verify,證明
absurd,荒謬的
adequate,足夠的
ample,廣大的
decent,正經的
dreadful,令人害怕的
exceptional,優秀
exquisite,精細的
farfetched,牽強的
inlightof,根據
ingenious,有創意的
instant,立即的
legitimate,合法的
moderate,中等的
oblivious,遺忘的
random,隨機的
relevant,有關的
substantially,基本上
temporary,暫時的
unprecedented,史無前例的
versatile,多才多藝的
accurate,準確的
alert,警覺的
approximately,大約
distinctive,與眾不同的
dynamic,充滿活力的
excessive,過多的
extraordinary,特別的
fragile,易碎的
inferior,下級的
initial,開始的
irresistible,不可抗拒的
miscellaneous,五花八門的
noteworthy,值得注意的
rapid,迅速的
self-explanatory,不言自明的
sufficient,足夠的
ultimately,最後
vague,模糊的
vivid,生動的
